hi,ws,thw
22.80,2.41,22.80
22.80,0.80,22.80
21.20,0.80,21.20
21.60,0.80,21.60
19.40,0.80,19.40
19.20,1.61,19.20
20.00,0.80,20.00
20.90,0.80,20.90
18.90,0.00,18.90
19.60,0.80,19.60
19.00,0.00,19.00
18.20,0.00,18.20
20.20,0.80,20.20
18.80,0.80,18.80
21.20,0.80,21.20
24.40,4.83,24.40
25.30,6.44,25.00
26.60,7.24,26.00
27.70,6.44,27.50
29.00,6.44,28.80
29.90,8.05,29.30
30.30,8.05,29.80
31.50,6.44,31.40
31.70,6.44,31.60
32.60,6.44,32.60
32.10,5.63,32.10
33.90,4.83,33.90
34.00,4.83,34.00
33.80,4.83,33.80
33.90,4.02,33.90
34.40,3.22,34.40
34.30,4.02,34.30
33.80,3.22,33.80
33.70,3.22,33.70
33.40,2.41,33.40
32.50,2.41,32.50
30.60,0.00,30.60
29.30,0.00,29.30
28.10,0.00,28.10
26.50,0.00,26.50
25.70,0.00,25.70
24.60,0.00,24.60
23.60,0.00,23.60
23.60,0.80,23.60
22.30,0.80,22.30
20.80,0.00,20.80
24.30,2.41,24.30
22.20,2.41,22.20
20.30,0.00,20.30
19.40,0.00,19.40
18.90,0.00,18.90
18.70,0.00,18.70
18.00,0.00,18.00
18.90,0.00,18.90
18.90,0.80,18.90
18.90,0.80,18.90
19.20,0.00,19.20
20.80,0.80,20.80
23.70,4.83,23.70
23.30,4.02,23.30
23.30,5.63,23.30
23.90,5.63,23.90
24.90,5.63,24.90
26.00,4.83,26.00
26.30,6.44,26.00
27.80,7.24,27.20
28.00,8.85,27.00
29.60,8.85,28.70
30.80,8.05,30.30
31.80,7.24,31.50
32.50,8.05,32.10
32.90,7.24,32.80
34.00,6.44,34.00
34.10,5.63,34.10
34.60,6.44,34.60
34.90,6.44,34.90
34.60,5.63,34.60
33.90,4.83,33.90
35.10,4.83,35.10
35.70,4.02,35.70
35.10,5.63,35.10
34.90,4.02,34.90
34.30,4.83,34.30
33.60,4.83,33.60
31.40,3.22,31.40
30.80,4.02,30.80
30.40,4.02,30.40
30.20,4.02,30.20
29.80,3.22,29.80
27.60,0.80,27.60
26.90,0.80,26.90
26.30,0.80,26.30
25.40,0.00,25.40
25.30,1.61,25.30
26.40,1.61,26.40
25.40,0.80,25.40
26.20,1.61,26.20
26.70,2.41,26.70
26.60,3.22,26.60
26.20,2.41,26.20
25.40,1.61,25.40
24.50,0.80,24.50
26.10,2.41,26.10
26.10,5.63,26.10
26.10,4.02,26.10
25.90,4.83,25.90
25.90,5.63,25.90
25.80,5.63,25.80
25.50,6.44,25.20
25.60,5.63,25.60
26.10,4.83,26.10
26.50,5.63,26.50
27.70,7.24,27.10
27.80,7.24,27.20
29.20,8.05,28.40
29.90,8.85,29.20
30.70,8.85,30.10
31.90,8.05,31.60
32.90,8.05,32.80
33.70,7.24,33.70
34.00,6.44,34.00
35.20,5.63,35.20
35.20,5.63,35.20
35.00,6.44,35.00
35.10,6.44,35.10
35.70,4.83,35.70
35.10,4.83,35.10
34.70,6.44,34.70
35.20,4.83,35.20
34.50,5.63,34.50
34.20,4.02,34.20
33.30,5.63,33.30
32.30,2.41,32.30
31.20,1.61,31.20
31.20,2.41,31.20
30.70,2.41,30.70
30.00,2.41,30.00
29.80,1.61,29.80
29.60,3.22,29.60
29.30,3.22,29.30
29.20,4.02,29.20
28.80,4.02,28.80
26.10,2.41,26.10
26.60,0.80,26.60
24.80,0.00,24.80
24.40,0.00,24.40
26.10,1.61,26.10
24.60,0.80,24.60
23.80,0.80,23.80
23.40,0.00,23.40
25.00,1.61,25.00
25.80,5.63,25.80
25.50,5.63,25.50
25.20,5.63,25.20
25.00,5.63,25.00
24.90,6.44,24.60
24.60,5.63,24.60
24.70,6.44,24.40
25.20,6.44,24.90
